label,fund_type,nav_asset_id,proxy_uuid,broad_uuid
SEK | Timber - SEK,Private Real Assets,6b66c0b3-81c8-413d-883e-7bbb652cf0fd,f7e57af4-e299-4601-944c-1a0e1e0c2a39,91bbc01d-529f-412d-8023-c9249afed5db
SEK | Real Estate - Ex-Value-Added - APAC - SEK,Private Real Estate,46d4399a-fb9a-48b9-af4e-4e7b693d44ab,f32d94c2-caeb-4bda-9273-2896f91dcae2,c605bde6-9a3a-4799-9d66-b340ca3636b4
SEK | Real Estate - Ex-Value-Added - Europe - SEK,Private Real Estate,aeb6be0e-4bf0-4788-a9a7-34cd61ed4dd6,8f8123cf-283c-4f81-a219-49921e980cc0,d6436fbf-bb99-4aef-8f9e-a0277b01ab3c
SEK | Real Estate - Ex-Value-Added - USA - SEK,Private Real Estate,40588f67-1a68-49a1-866a-7f24b3bc4164,03e53409-2cf0-49ef-9299-72e1cb0b588b,b1591cc0-f9ff-4255-99b8-d34cd4678391
USD | Debt - Mezzanine - USD,Private Credit,da344b8f-f0f9-41f5-ba50-6cfa5da6ed0a,bba6d4c5-a5d1-421f-99ed-6eb2474b4ff0,495b8544-89c5-4516-8f4b-8b57c601fda4
USD | Debt - Senior - USD,Private Credit,1cdf1d35-d695-406f-b0c0-2eb2f758d3b9,88c971d9-5247-43ae-a5a8-f3a2ea6498c0,495b8544-89c5-4516-8f4b-8b57c601fda4
USD | Eq - Buyout + Expansion - USD,Private Equity,dcd91934-5641-46c7-b54b-ec42bc6b21ad,fa9624f5-8d27-44fa-8b45-4bcfb1dee60f,e6d2255d-b226-4fcd-8b49-3d72c2aa6b00
USD | Venture Capital - USD,Private Equity,335daaa5-bb86-4464-9643-b4ec39703699,efd812c0-c318-4e14-aa31-1aa2121fb9fb,e6d2255d-b226-4fcd-8b49-3d72c2aa6b00
USD | Infrastructure - USD,Private Real Assets,1c01ebe7-7982-4c9f-b175-bce1123753e4,4d707e3d-eb11-411c-8dfa-c97e93ef6952,b1591cc0-f9ff-4255-99b8-d34cd4678391
USD | Timber - USD,Private Real Assets,42235c4d-8b0c-456d-94d8-1ca66310ae7f,f7e57af4-e299-4601-944c-1a0e1e0c2a39,b1591cc0-f9ff-4255-99b8-d34cd4678391
USD | Real Estate - Ex-Value-Added - APAC - USD,Private Real Estate,7b97a78a-ffbe-4a66-ac66-74c036f7d2c2,f32d94c2-caeb-4bda-9273-2896f91dcae2,c605bde6-9a3a-4799-9d66-b340ca3636b4
USD | Real Estate - Ex-Value-Added - Europe - USD,Private Real Estate,b2a7e547-95f6-4a6d-aebd-95e73a57f14c,8f8123cf-283c-4f81-a219-49921e980cc0,d6436fbf-bb99-4aef-8f9e-a0277b01ab3c
USD | Real Estate - Ex-Value-Added - USA - USD,Private Real Estate,f91776e8-0273-41ff-9022-6d3820037897,03e53409-2cf0-49ef-9299-72e1cb0b588b,b1591cc0-f9ff-4255-99b8-d34cd4678391
USD | Real Estate - Value-Added - USA - USD,Private Real Estate,fceba1b2-f5b8-4519-9a8c-47c1ff17d731,cd3b61ad-08af-49f7-a429-ea935c8942d4,b1591cc0-f9ff-4255-99b8-d34cd4678391
